stimulus,rt,response,accuracy
fixation,0.878382299997611,99,0.991111111111111
600,0.622176099997887,1,0
fixation,0.893721699998423,99,0
600,0.606517499996698,1,0
fixation,0.500083200000518,99,0
603,1,99,0
fixation,0.500136000002385,99,0
605,1,99,0
fixation,0.581061500000942,99,0
600,0.919176799994602,1,0
fixation,0.500061299993831,99,0
607,1,99,0
fixation,0.5001226999957,99,0
602,1,99,0
fixation,0.961535199996433,99,0
600,0.538702000005287,1,0
fixation,0.500069199995778,99,0
603,1,99,0
fixation,0.500107700005174,99,0
602,1,99,0
fixation,0.500027499998396,99,0
607,1,99,0
fixation,0.500064700005169,99,0
605,1,99,0
fixation,0.500153000000864,99,0
606,1,99,0
fixation,0.500003400004061,99,0
169,1,99,0
fixation,0.932940000006056,99,0
600,0.56750479999755,1,0
fixation,0.500118800002383,99,0
427,1,99,0
fixation,0.50011419999646,99,0
601,1,99,0
fixation,0.500106399995275,99,0
573,1,99,0
fixation,0.500094199996965,99,0
604,1,99,0
fixation,0.500066600005084,99,0
609,1,99,0
fixation,0.500068300003477,99,0
604,1,99,0
fixation,0.500129599997308,99,0
608,1,99,0
fixation,0.500081999998656,99,0
604,1,99,0
fixation,0.655226900002162,99,0
600,0.845355600002222,1,0
fixation,0.500089199995273,99,0
603,1,99,0
fixation,0.500129399995785,99,0
604,1,99,0
fixation,0.912639100002707,99,0
600,0.587817799998447,1,0
fixation,0.500071099995694,99,0
607,1,99,0
fixation,0.500116800001706,99,0
355,1,99,0
fixation,0.500063100000261,99,0
426,1,99,0
fixation,0.500028800001019,99,0
603,1,99,0
fixation,0.500023799999326,99,0
602,1,99,0
fixation,0.794466499995906,99,0
600,0.705684200001997,1,0
fixation,0.500097100004496,99,0
328,1,99,0
fixation,0.500060800004576,99,0
604,1,99,0
fixation,0.500091200003226,99,0
603,1,99,0
fixation,0.50003629999992,99,0
609,1,99,0
fixation,0.500015899997379,99,0
603,1,99,0
fixation,0.50000480000017,99,0
605,1,99,0
fixation,0.500002000000677,99,0
605,1,99,0
fixation,0.500063400002546,99,0
609,1,99,0
fixation,0.831054900001618,99,0
600,0.669094599994423,1,0
fixation,0.500103099999251,99,0
181,1,99,0
fixation,0.500063999999838,99,0
601,1,99,0
fixation,0.50006669999857,99,0
244,1,99,0
fixation,0.500022899999749,99,0
601,1,99,0
fixation,0.500105999999505,99,0
601,1,99,0
fixation,0.964325399996596,99,0
600,0.535821600002237,1,0
fixation,0.500093200003903,99,0
605,1,99,0
fixation,0.500083300001279,99,0
607,1,99,0
fixation,0.500065799998993,99,0
603,1,99,0
fixation,0.500056199998653,99,0
605,1,99,0
fixation,0.500084699997387,99,0
606,1,99,0
fixation,0.50001030000567,99,0
609,1,99,0
fixation,1.00884689999657,99,0
600,0.491299799999979,1,0
fixation,0.500069100002293,99,0
600,1,99,0
fixation,0.500070400004915,99,0
609,1,99,0
fixation,0.500050900001952,99,0
603,1,99,0
fixation,0.500135500005854,99,0
606,1,99,0
fixation,0.500103400001535,99,0
601,1,99,0
fixation,0.500088699998742,99,0
605,1,99,0
fixation,0.500020599996787,99,0
606,1,99,0
fixation,0.500046600005589,99,0
604,1,99,0
fixation,0.500042399995436,99,0
601,1,99,0
fixation,0.500128899999254,99,0
606,1,99,0
fixation,0.50002229999518,99,0
604,1,99,0
