stimulus,rt,response,accuracy
fixation,0.804991500001051,99,0.991111111111111
586,0.700111300000572,0,1
fixation,0.500088000000687,99,0.977777777777778
487,1,99,0
fixation,0.500039799997467,99,0
608,1,99,0
fixation,0.500053600000683,99,0
485,1,99,0
fixation,0.500049299997045,99,0
601,1,99,0
fixation,0.500104200000351,99,0
607,1,99,0
fixation,0.500023500004318,99,0
601,1,99,0
fixation,0.500136400005431,99,0
607,1,99,0
fixation,0.500097299998743,99,0
602,1,99,0
fixation,0.500029900002119,99,0
583,1,99,0
fixation,0.986486200003128,99,0
600,0.513660699994944,1,0
fixation,0.500080400001025,99,0
609,1,99,0
fixation,0.960850199997367,99,0
600,0.539589200001501,1,0
fixation,0.500074600000517,99,0
606,1,99,0
fixation,0.500055299999076,99,0
606,1,99,0
fixation,0.500093400005426,99,0
607,1,99,0
fixation,0.500100099998235,99,0
604,1,99,0
fixation,0.500111199995445,99,0
603,1,99,0
fixation,0.500102799996966,99,0
605,1,99,0
fixation,0.500096399999165,99,0
466,1,99,0
fixation,0.500105400002212,99,0
177,1,99,0
fixation,0.500031199997466,99,0
254,1,99,0
fixation,0.500064699997893,99,0
603,1,99,0
fixation,0.500104999999166,99,0
609,1,99,0
fixation,0.500090599998657,99,0
608,1,99,0
fixation,0.888216399995144,99,0
600,0.612091599999985,1,0
fixation,0.50002189999941,99,0
609,1,99,0
fixation,0.791150100005325,99,0
600,0.709001600000192,1,0
fixation,0.50008859999798,99,0
601,1,99,0
fixation,0.500053099996876,99,0
601,1,99,0
fixation,0.950044500001241,99,0
600,0.550106800001231,1,0
fixation,0.500018799997633,99,0
604,1,99,0
fixation,0.500052099996537,99,0
603,1,99,0
fixation,0.500069699999585,99,0
608,1,99,0
fixation,0.500120400000014,99,0
609,1,99,0
fixation,0.927034599997569,99,0
600,0.573112000005494,1,0
fixation,0.500028700000257,99,0
601,1,99,0
fixation,0.906253499997547,99,0
600,0.593893900004332,1,0
fixation,0.500076500000432,99,0
605,1,99,0
fixation,0.500076800002716,99,0
602,1,99,0
fixation,0.500013299999409,99,0
317,1,99,0
fixation,0.500117600000522,99,0
607,1,99,0
fixation,0.500004100002116,99,0
605,1,99,0
fixation,0.500124999998661,99,0
604,1,99,0
fixation,0.848185000002559,99,0
600,0.651963600001181,1,0
fixation,0.500028299997211,99,0
609,1,99,0
fixation,0.500046000001021,99,0
608,1,99,0
fixation,0.50006779999967,99,0
232,1,99,0
fixation,0.500122199999169,99,0
219,1,99,0
fixation,0.899189000003389,99,0
600,0.60095800000272,1,0
fixation,0.500013900003978,99,0
375,1,99,0
fixation,0.500074299998232,99,0
608,1,99,0
