stimulus,rt,response,accuracy
fixation,0.500063199993747,99,0.991111111111111
601,1,99,1
fixation,0.500045400003728,99,0
608,1,99,0
fixation,0.500072599999839,99,0
601,1,99,0
fixation,1.01895359999617,99,0
600,0.481194799998775,1,0
fixation,0.500054600001022,99,0
388,1,99,0
fixation,1.02825409999787,99,0
600,0.472209500003373,1,0
fixation,0.500079199999163,99,0
319,1,99,0
fixation,0.500109199994768,99,0
602,1,99,0
fixation,0.500120699995023,99,0
608,1,99,0
fixation,0.500039300000935,99,0
356,1,99,0
fixation,0.500026400004572,99,0
602,1,99,0
fixation,0.500078600001871,99,0
609,1,99,0
fixation,0.500126600003568,99,0
608,1,99,0
fixation,0.500108799998998,99,0
603,1,99,0
fixation,0.855540200005635,99,0
600,0.645237400000042,1,0
fixation,0.500066399996285,99,0
607,1,99,0
fixation,0.50007899999764,99,0
603,1,99,0
fixation,0.500137800001539,99,0
608,1,99,0
fixation,0.500121300006867,99,0
604,1,99,0
fixation,0.500007800001185,99,0
177,1,99,0
fixation,0.500024599998142,99,0
494,1,99,0
fixation,0.500073000002885,99,0
348,1,99,0
fixation,0.500076700001955,99,0
512,1,99,0
fixation,0.500098600001365,99,0
601,1,99,0
fixation,0.837898700003279,99,0
600,0.662264200000209,1,0
fixation,0.500038400001358,99,0
605,1,99,0
fixation,0.944570799998473,99,0
600,0.555799299996579,1,0
fixation,0.500109100001282,99,0
605,1,99,0
fixation,0.500104999999166,99,0
608,1,99,0
fixation,0.500019300001441,99,0
606,1,99,0
fixation,1.01753759999701,99,0
600,0.482614000000467,1,0
fixation,0.500021699997887,99,0
604,1,99,0
fixation,0.500074100003985,99,0
606,1,99,0
fixation,0.500075600000855,99,0
609,1,99,0
fixation,1.00437210000382,99,0
600,0.495778099997551,1,0
fixation,0.500134999994771,99,0
602,1,99,0
fixation,0.500046599998313,99,0
607,1,99,0
fixation,0.50003889999789,99,0
608,1,99,0
fixation,0.500068300003477,99,0
602,1,99,0
fixation,0.50005560000136,99,0
606,1,99,0
fixation,0.769740700001421,99,0
600,0.730455299999448,1,0
fixation,0.500128699997731,99,0
608,1,99,0
fixation,0.500026499998057,99,0
607,1,99,0
fixation,0.500020100000256,99,0
605,1,99,0
fixation,0.500135399997816,99,0
291,1,99,0
fixation,0.500134900001285,99,0
603,1,99,0
fixation,0.500064899999416,99,0
322,1,99,0
fixation,0.921060599997872,99,0
600,0.579086300000199,1,0
fixation,0.927733100004843,99,0
600,0.572413699999743,1,0
fixation,0.500021200001356,99,0
607,1,99,0
fixation,0.500110700006189,99,0
604,1,99,0
fixation,0.500135900001624,99,0
602,1,99,0
fixation,0.50007899999764,99,0
166,1,99,0
fixation,0.500054399999499,99,0
607,1,99,0
fixation,0.50006779999967,99,0
266,1,99,0
fixation,0.500088100001449,99,0
536,1,99,0
fixation,0.500044100001105,99,0
185,1,99,0
fixation,0.500096000003396,99,0
601,1,99,0
fixation,0.892365100000461,99,0
600,0.607781200000318,1,0
fixation,0.500079500001448,99,0
606,1,99,0
fixation,0.500066400003561,99,0
604,1,99,0
fixation,0.500107499996375,99,0
595,1,99,0
fixation,0.500027299996873,99,0
608,1,99,0
fixation,0.989846399999806,99,0
600,0.510300499998266,1,0
fixation,0.500128100000438,99,0
601,1,99,0
fixation,0.50008600000001,99,0
606,1,99,0
fixation,0.500110200002382,99,0
603,1,99,0
fixation,0.693783199996687,99,0
600,0.806687000003876,1,0
fixation,0.540520000002289,99,0
600,0.959625399998913,1,0
fixation,0.500022100000933,99,0
602,1,99,0
fixation,0.500084399995103,99,0
602,1,99,0
fixation,0.500135900001624,99,0
601,1,99,0
fixation,0.500034999997297,99,0
603,1,99,0
fixation,0.500051800001529,99,0
604,1,99,0
fixation,0.954076399997575,99,0
600,0.546251400002802,1,0
fixation,0.993252000000211,99,0
600,0.506893600002513,1,0
fixation,1.08018469999661,99,0
600,0.419962799998757,1,0
fixation,0.500062099999923,99,0
243,1,99,0
fixation,0.500135099995532,99,0
601,1,99,0
fixation,0.940464899998915,99,0
600,0.559682599996449,1,0
fixation,0.956405600001744,99,0
600,0.544455899995228,1,0
fixation,0.500035800003388,99,0
603,1,99,0
fixation,0.499999900006515,99,0
604,1,99,0
fixation,0.500054600001022,99,0
601,1,99,0
fixation,0.828878199994506,99,0
600,0.671636900005979,1,0
