stimulus,rt,response,accuracy
fixation,0.500112400004582,99,0.991111111111111
602,1,99,1
fixation,0.500031800002034,99,0.977777777777778
581,1,99,0.982222222222222
fixation,0.882103999996616,99,1
600,0.61805060000188,1,0
fixation,0.500075099997048,99,0
605,1,99,0
fixation,0.9908276999995,99,0
600,0.509323800004495,1,0
fixation,0.500056000004406,99,0
609,1,99,0
fixation,0.500074199997471,99,0
601,1,99,0
fixation,1.0253206999987,99,0
600,0.474825600002077,1,0
fixation,0.500084200000856,99,0
141,1,99,0
fixation,0.500125099999423,99,0
602,1,99,0
fixation,0.500131000000692,99,0
609,1,99,0
fixation,0.500035299999581,99,0
607,1,99,0
fixation,0.500036199999158,99,0
606,1,99,0
fixation,0.500025399996957,99,0
604,1,99,0
fixation,0.500007199996617,99,0
605,1,99,0
fixation,0.500059199999669,99,0
124,1,99,0
fixation,0.500135700000101,99,0
604,1,99,0
fixation,0.500041299994336,99,0
609,1,99,0
fixation,0.500055900003645,99,0
603,1,99,0
fixation,0.500018600003386,99,0
601,1,99,0
fixation,0.733218100001977,99,0
600,0.766927999997279,1,0
fixation,0.500087699998403,99,0
224,1,99,0
fixation,0.500093700000434,99,0
289,1,99,0
fixation,0.500022500003979,99,0
608,1,99,0
fixation,0.500068800000008,99,0
609,1,99,0
fixation,0.500116299997899,99,0
607,1,99,0
fixation,0.500109599997813,99,0
601,1,99,0
fixation,0.500022199994419,99,0
607,1,99,0
fixation,0.500125200000184,99,0
609,1,99,0
fixation,0.500035899996874,99,0
525,1,99,0
fixation,0.500015799996618,99,0
601,1,99,0
fixation,0.500110600005428,99,0
607,1,99,0
fixation,0.84281820000615,99,0
600,0.657328699999198,1,0
fixation,0.500086699998064,99,0
604,1,99,0
fixation,0.96108059999824,99,0
600,0.53906619999907,1,0
fixation,0.911344700005429,99,0
600,0.588802599995688,1,0
fixation,0.50000369999907,99,0
446,1,99,0
fixation,1.00581909999892,99,0
600,0.494332800000848,1,0
fixation,0.500096399999165,99,0
158,1,99,0
fixation,0.500075800002378,99,0
265,1,99,0
fixation,0.500079500001448,99,0
522,1,99,0
fixation,0.500091599998996,99,0
605,1,99,0
fixation,0.979813600002672,99,0
600,0.520335900000646,1,0
fixation,0.500087300002633,99,0
397,1,99,0
fixation,0.50003110000398,99,0
376,1,99,0
fixation,0.500057199998992,99,0
608,1,99,0
fixation,0.500114999995276,99,0
605,1,99,0
fixation,0.500026199995773,99,0
606,1,99,0
fixation,0.500097399999504,99,0
606,1,99,0
fixation,1.00312320000376,99,0
600,0.4970239999966,1,0
fixation,0.50010480000492,99,0
604,1,99,0
fixation,0.500092399997811,99,0
601,1,99,0
fixation,0.500048900001275,99,0
607,1,99,0
fixation,0.989011199999368,99,0
600,0.511135400003695,1,0
fixation,0.50005930000043,99,0
607,1,99,0
fixation,0.500102099998912,99,0
603,1,99,0
fixation,0.500134699999762,99,0
608,1,99,0
fixation,0.500051999995776,99,0
118,1,99,0
fixation,1.04255090000515,99,0
600,0.457599499997741,1,0
fixation,0.500037700003304,99,0
604,1,99,0
fixation,0.499998200000846,99,0
605,1,99,0
fixation,0.500106799998321,99,0
603,1,99,0
fixation,0.95051439999952,99,0
600,0.549947400002566,1,0
fixation,0.500031200004742,99,0
608,1,99,0
fixation,0.500033500000427,99,0
602,1,99,0
fixation,0.500024900000426,99,0
603,1,99,0
fixation,0.500113000001875,99,0
604,1,99,0
fixation,0.500058899997384,99,0
553,1,99,0
fixation,0.918825400003698,99,0
600,0.58143089999794,1,0
fixation,0.500014099998225,99,0
609,1,99,0
fixation,0.500000699998054,99,0
608,1,99,0
fixation,0.500115700000606,99,0
608,1,99,0
fixation,0.500071800001024,99,0
604,1,99,0
fixation,0.982939699999406,99,0
600,0.517206600001373,1,0
fixation,0.500042100000428,99,0
332,1,99,0
fixation,0.970790999999736,99,0
600,0.529354799997236,1,0
fixation,0.500084900006186,99,0
443,1,99,0
fixation,0.500132199995278,99,0
608,1,99,0
fixation,0.50003299999662,99,0
603,1,99,0
fixation,0.500136899994686,99,0
604,1,99,0
fixation,0.500022799998987,99,0
554,1,99,0
fixation,0.500107700005174,99,0
473,1,99,0
fixation,0.500032500000088,99,0
602,1,99,0
fixation,0.50009560000035,99,0
609,1,99,0
fixation,0.50011199999426,99,0
603,1,99,0
fixation,0.500056499993661,99,0
606,1,99,0
fixation,0.500039400001697,99,0
607,1,99,0
fixation,0.500136200003908,99,0
276,1,99,0
fixation,0.500104899998405,99,0
609,1,99,0
fixation,0.500111399996968,99,0
602,1,99,0
fixation,0.682874300000549,99,0
600,0.817272200001753,1,0
fixation,0.500055700002122,99,0
609,1,99,0
fixation,1.01005629999418,99,0
600,0.490090700004657,1,0
fixation,0.500093899994681,99,0
602,1,99,0
fixation,0.500020999999833,99,0
607,1,99,0
fixation,0.500065400003223,99,0
607,1,99,0
fixation,0.500038199999835,99,0
605,1,99,0
fixation,0.500042799998482,99,0
469,1,99,0
fixation,0.500011099997209,99,0
602,1,99,0
fixation,0.899894100002712,99,0
600,0.600250899995444,1,0
fixation,0.500049700000091,99,0
601,1,99,0
fixation,0.500076000003901,99,0
608,1,99,0
fixation,0.500106299994513,99,0
606,1,99,0
fixation,0.500092900001619,99,0
608,1,99,0
fixation,0.500110700006189,99,0
605,1,99,0
fixation,0.500060599995777,99,0
605,1,99,0
fixation,0.500036899997212,99,0
603,1,99,0
fixation,0.593016699996952,99,0
600,0.907135300003574,1,0
fixation,0.500084300001618,99,0
605,1,99,0
fixation,0.50003330000618,99,0
609,1,99,0
fixation,0.500093900001957,99,0
585,1,99,0
fixation,0.500036500001443,99,0
605,1,99,0
fixation,0.500015800003894,99,0
317,1,99,0
fixation,0.826218399997742,99,0
600,0.673930400000245,1,0
fixation,0.500121800003399,99,0
608,1,99,0
fixation,0.500050800001191,99,0
601,1,99,0
fixation,0.500076500000432,99,0
602,1,99,0
fixation,0.500132799999847,99,0
602,1,99,0
fixation,0.500054299998737,99,0
605,1,99,0
fixation,0.976775300005102,99,0
600,0.523370700000669,1,0
fixation,0.500031600000511,99,0
603,1,99,0
fixation,0.998326000000816,99,0
600,0.50216509999882,1,0
fixation,0.941262799999095,99,0
600,0.558883899997454,1,0
fixation,0.500050600006944,99,0
602,1,99,0
fixation,0.500134200003231,99,0
371,1,99,0
fixation,0.500103799997305,99,0
601,1,99,0
fixation,1.04507019999437,99,0
600,0.455076500002178,1,0
fixation,0.500005800000508,99,0
608,1,99,0
fixation,0.500067199995101,99,0
603,1,99,0
fixation,0.500012299999071,99,0
606,1,99,0
fixation,0.500115199996799,99,0
604,1,99,0
fixation,0.500029300004826,99,0
603,1,99,0
fixation,0.500068000001193,99,0
609,1,99,0
fixation,0.50003669999569,99,0
606,1,99,0
fixation,0.988102199997229,99,0
600,0.51204449999932,1,0
fixation,0.500127599996631,99,0
219,1,99,0
fixation,0.500035600001866,99,0
607,1,99,0
fixation,0.500127900006191,99,0
489,1,99,0
fixation,0.5001271000001,99,0
606,1,99,0
fixation,0.500017200000002,99,0
605,1,99,0
fixation,0.500023499997042,99,0
603,1,99,0
fixation,0.500132599998324,99,0
602,1,99,0
fixation,0.969070200000715,99,0
600,0.531399899999087,1,0
fixation,0.500103400001535,99,0
604,1,99,0
fixation,0.499998600003892,99,0
606,1,99,0
fixation,0.970257300003141,99,0
600,0.529895100000431,1,0
fixation,0.917380999999295,99,0
600,0.58276620000106,1,0
fixation,1.00812399999995,99,0
600,0.492026499996427,1,0
fixation,0.500110300003143,99,0
601,1,99,0
fixation,0.500015199999325,99,0
607,1,99,0
fixation,0.500083099999756,99,0
436,1,99,0
fixation,0.50011639999866,99,0
602,1,99,0
fixation,0.500124000005599,99,0
369,1,99,0
fixation,0.50011049999739,99,0
607,1,99,0
fixation,0.500065300002461,99,0
609,1,99,0
fixation,0.500073399998655,99,0
606,1,99,0
fixation,0.918833900002937,99,0
600,0.581316299998434,1,0
fixation,0.500104400001874,99,0
606,1,99,0
fixation,0.500040299993998,99,0
607,1,99,0
fixation,0.9755937000009,99,0
600,0.524553499999456,1,0
fixation,0.500122700002976,99,0
145,1,99,0
fixation,0.500067299995862,99,0
602,1,99,0
fixation,0.500019999999495,99,0
606,1,99,0
fixation,0.500008199996955,99,0
268,1,99,0
fixation,0.500100899997051,99,0
609,1,99,0
fixation,0.500090699999419,99,0
602,1,99,0
fixation,0.922565300003043,99,0
600,0.57758130000002,1,0
fixation,0.50003590000415,99,0
607,1,99,0
fixation,0.500125999999,99,0
607,1,99,0
fixation,0.500109299995529,99,0
609,1,99,0
fixation,0.50013190000027,99,0
608,1,99,0
fixation,0.500047200002882,99,0
604,1,99,0
fixation,0.84886589999951,99,0
600,0.651328799998737,1,0
fixation,0.499998100000084,99,0
608,1,99,0
fixation,0.500012800002878,99,0
177,1,99,0
fixation,0.500100999997812,99,0
605,1,99,0
fixation,0.500068599998485,99,0
608,1,99,0
fixation,0.863025099999504,99,0
600,0.637121400002798,1,0
fixation,0.739361299994926,99,0
600,0.760982200001308,1,0
fixation,0.500034100004996,99,0
604,1,99,0
fixation,1.00826759999472,99,0
600,0.491882200003602,1,0
fixation,0.50005599999713,99,0
432,1,99,0
fixation,0.500090599998657,99,0
588,1,99,0
fixation,0.50009520000458,99,0
601,1,99,0
fixation,0.500038900005165,99,0
603,1,99,0
fixation,0.500057600002037,99,0
176,1,99,0
fixation,0.50000960000034,99,0
342,1,99,0
fixation,0.500066799999331,99,0
605,1,99,0
fixation,0.500072100003308,99,0
603,1,99,0
fixation,0.500062400002207,99,0
231,1,99,0
fixation,0.938427200002479,99,0
600,0.561719899997115,1,0
fixation,0.950522200000705,99,0
600,0.549678899995342,1,0
fixation,0.500032700001611,99,0
606,1,99,0
fixation,0.500107699997898,99,0
605,1,99,0
fixation,0.50009780000255,99,0
133,1,99,0
fixation,1.00636780000059,99,0
600,0.493830500003241,1,0
fixation,0.500036800003727,99,0
602,1,99,0
fixation,0.50010829999519,99,0
604,1,99,0
fixation,0.500101600002381,99,0
606,1,99,0
fixation,0.500032299998566,99,0
335,1,99,0
fixation,0.500020200001018,99,0
609,1,99,0
fixation,0.869284600004903,99,0
600,0.630865399994946,1,0
fixation,0.500093500006187,99,0
601,1,99,0
fixation,0.500086499996542,99,0
604,1,99,0
fixation,0.500370399997337,99,0
601,1,99,0
fixation,0.500117999996291,99,0
253,1,99,0
fixation,0.862896600003296,99,0
600,0.637249699997483,1,0
fixation,0.929219500001636,99,0
600,0.570928599998297,1,0
fixation,0.500075999996625,99,0
608,1,99,0
fixation,0.910765700005868,99,0
600,0.589384299993981,1,0
fixation,0.50020570000197,99,0
604,1,99,0
fixation,0.500195100001292,99,0
601,1,99,0
fixation,0.500030899995181,99,0
484,1,99,0
fixation,0.500014400000509,99,0
547,1,99,0
fixation,0.500030800001696,99,0
538,1,99,0
fixation,0.500064400002884,99,0
601,1,99,0
fixation,0.50008710000111,99,0
172,1,99,0
fixation,0.50001070000144,99,0
606,1,99,0
fixation,0.500097299998743,99,0
601,1,99,0
fixation,0.500010399999155,99,0
283,1,99,0
fixation,0.500013400000171,99,0
365,1,99,0
fixation,0.500023900000087,99,0
603,1,99,0
fixation,0.500020700004825,99,0
603,1,99,0
fixation,0.860537600005046,99,0
600,0.639608199999202,1,0
fixation,0.500008299997717,99,0
439,1,99,0
